paper,table,pdf_page,model,stage,metric,paper_value,previous_v2,current_reproduction,test_n,run,arm,relative_error_change_pct,comparability,status
P1,7,11,P1_GBT,A,r2,0.97,0.9594859150718932,0.9591206460621945,238.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,7,11,P1_GBT,A,rmse,6.552,7.514332123250275,7.548130169279339,238.0,phm_cmp_completion_v3,selected,15.203451912077837,partial_reproduction,evaluated
P1,7,11,P1_GBT,A,relative_error,0.051,0.0500053711329315,0.055401247212311266,238.0,phm_cmp_completion_v3,selected,8.629896494727983,partial_reproduction,evaluated
P1,7,11,P1_GBT,A,s_score,1.674,7.941759060597181,2.2163536524838703,238.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,7,11,P1_RF,A,r2,0.981,0.9553004918130152,0.9564800315835122,238.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,7,11,P1_RF,A,rmse,5.395,7.892938914168524,7.788102435002492,238.0,phm_cmp_completion_v3,selected,44.357783781325175,partial_reproduction,evaluated
P1,7,11,P1_RF,A,relative_error,0.046,0.058040035217897,0.06014107443406056,238.0,phm_cmp_completion_v3,selected,30.74146616100122,partial_reproduction,evaluated
P1,7,11,P1_RF,A,s_score,0.512,4.272895933792795,2.9463475153364547,238.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,7,11,P1_ERT,A,r2,0.966,0.9388134191333544,0.9517275176729815,238.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,7,11,P1_ERT,A,rmse,7.048,9.234544149338689,8.202329005900989,238.0,phm_cmp_completion_v3,selected,16.37810734819791,partial_reproduction,evaluated
P1,7,11,P1_ERT,A,relative_error,0.05,0.0636183374532738,0.061757387151156196,238.0,phm_cmp_completion_v3,selected,23.51477430231239,partial_reproduction,evaluated
P1,7,11,P1_ERT,A,s_score,3.723,8.61530612566299,6.594051591947491,238.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,7,11,P1_CART_Stack,A,r2,0.983,0.939638601246868,0.9591848229862932,238.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,7,11,P1_CART_Stack,A,rmse,5.065,9.17206274141971,7.542202897906278,238.0,phm_cmp_completion_v3,selected,48.90825069903806,partial_reproduction,evaluated
P1,7,11,P1_CART_Stack,A,relative_error,0.047,0.0592958388890408,0.05573728778989181,238.0,phm_cmp_completion_v3,selected,18.58997402104641,partial_reproduction,evaluated
P1,7,11,P1_CART_Stack,A,s_score,0.479,36.34806716304348,11.919081250586695,238.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,7,11,P1_ELM_Stack,A,r2,0.984,0.9423670415632248,0.9552532292031698,238.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,7,11,P1_ELM_Stack,A,rmse,4.795,8.962369108892872,7.89711057457181,238.0,phm_cmp_completion_v3,selected,64.69469394310346,partial_reproduction,evaluated
P1,7,11,P1_ELM_Stack,A,relative_error,0.043,0.060524454122746,0.06143029010708142,238.0,phm_cmp_completion_v3,selected,42.86113978391028,partial_reproduction,evaluated
P1,7,11,P1_ELM_Stack,A,s_score,0.446,9.066310087416486,2.409849128117053,238.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,8,11,P1_GBT,B,r2,0.687,0.6747071333442394,0.7529461111069942,186.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,8,11,P1_GBT,B,rmse,4.781,4.865307375428209,4.240029324998642,186.0,phm_cmp_completion_v3,selected,-11.315010980994721,partial_reproduction,evaluated
P1,8,11,P1_GBT,B,relative_error,0.047,0.0469431152674979,0.04177786384235242,186.0,phm_cmp_completion_v3,selected,-11.110927994994846,partial_reproduction,evaluated
P1,8,11,P1_GBT,B,s_score,0.44,1.447616814241622,1.3849739097374634,186.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,8,11,P1_RF,B,r2,0.722,0.7022437763046322,0.7413573622803322,186.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,8,11,P1_RF,B,rmse,4.598,4.654825844526146,4.338334888037262,186.0,phm_cmp_completion_v3,selected,-5.647349107497557,partial_reproduction,evaluated
P1,8,11,P1_RF,B,relative_error,0.045,0.0448014420085617,0.04269670550548678,186.0,phm_cmp_completion_v3,selected,-5.118432210029377,partial_reproduction,evaluated
P1,8,11,P1_RF,B,s_score,0.419,1.42547334414101,1.393662223539269,186.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
