partition_condition,fold,eligible,fit_n,query_n,fit_groups,query_groups
outer_0_completed_Cond1,0,False,199,4,14,1
outer_0_completed_Cond1,1,True,266,78,16,7
outer_0_completed_Cond1,2,True,414,24,24,8
outer_0_completed_Cond2,0,False,185,3,17,1
outer_0_completed_Cond2,1,True,249,91,19,5
outer_0_completed_Cond2,2,True,404,24,25,5
outer_0_completed_Cond3,0,True,82,25,14,3
outer_0_completed_Cond3,1,True,136,29,18,6
outer_0_completed_Cond3,2,True,200,16,25,6
outer_1_completed_Cond1,0,True,193,77,14,4
outer_1_completed_Cond1,1,True,333,67,19,4
outer_1_completed_Cond1,2,True,486,54,24,7
outer_1_completed_Cond2,0,True,250,18,20,3
outer_1_completed_Cond2,1,True,332,77,24,3
outer_1_completed_Cond2,2,True,506,67,28,6
outer_1_completed_Cond3,0,True,93,14,18,2
outer_1_completed_Cond3,1,True,142,10,21,3
outer_1_completed_Cond3,2,True,186,19,25,6
outer_2_completed_Cond1,0,True,252,62,12,4
outer_2_completed_Cond1,1,True,334,75,17,3
outer_2_completed_Cond1,2,True,472,93,21,10
outer_2_completed_Cond2,0,True,241,69,16,2
outer_2_completed_Cond2,1,True,333,71,19,3
outer_2_completed_Cond2,2,True,465,64,23,5
outer_2_completed_Cond3,0,True,107,30,16,2
outer_2_completed_Cond3,1,True,158,41,19,3
outer_2_completed_Cond3,2,True,218,22,23,7
outer_3_completed_Cond1,0,True,282,91,15,4
outer_3_completed_Cond1,1,True,410,55,20,2
outer_3_completed_Cond1,2,True,551,57,23,9
outer_3_completed_Cond2,0,True,265,89,17,4
outer_3_completed_Cond2,1,True,412,77,22,3
outer_3_completed_Cond2,2,True,586,67,26,6
outer_3_completed_Cond3,0,True,132,21,19,2
outer_3_completed_Cond3,1,True,182,52,22,4
outer_3_completed_Cond3,2,True,269,26,27,9
outer_4_completed_Cond1,0,True,269,122,14,5
outer_4_completed_Cond1,1,True,401,36,20,3
outer_4_completed_Cond1,2,True,523,52,24,7
outer_4_completed_Cond2,0,True,265,93,17,6
outer_4_completed_Cond2,1,False,416,4,24,1
outer_4_completed_Cond2,2,True,517,61,26,4
outer_4_completed_Cond3,0,True,116,53,17,5
outer_4_completed_Cond3,1,True,190,53,23,4
outer_4_completed_Cond3,2,True,247,19,28,6
temporal_completed_Cond1,0,True,241,103,11,8
temporal_completed_Cond1,1,True,349,76,20,3
temporal_completed_Cond1,2,True,488,122,24,4
temporal_completed_Cond2,0,True,248,72,19,3
temporal_completed_Cond2,1,True,343,85,23,5
temporal_completed_Cond2,2,True,489,66,29,2
temporal_completed_Cond3,0,True,111,54,17,5
temporal_completed_Cond3,1,False,172,6,23,2
temporal_completed_Cond3,2,True,197,57,26,5
final_completed_Cond1,0,True,293,86,17,4
final_completed_Cond1,1,True,416,124,22,5
final_completed_Cond1,2,True,610,74,28,11
final_completed_Cond2,0,True,274,157,21,7
final_completed_Cond2,1,True,489,101,29,2
final_completed_Cond2,2,True,590,78,31,7
final_completed_Cond3,0,True,143,25,22,3
final_completed_Cond3,1,True,197,53,26,4
final_completed_Cond3,2,True,285,30,31,10
